bridge_id,inspection_year,bridge_age_years,years_since_rehab,adt_x,adtt_percent_x,annual_rainfall_mm_x,avg_temp_c_x,monsoon_intensity_x,flood_risk_score_x,deck_condition,superstructure_condition,substructure_condition,overall_condition,data_source,state,district,latitude,longitude,road_class,year_built,material,structure_type,num_spans,max_span_m,total_length_m,deck_width_m,num_lanes,adt_y,adtt_percent_y,annual_rainfall_mm_y,avg_temp_c_y,monsoon_intensity_y,flood_risk_score_y,exposure_condition,last_rehab_year
BR-RAJ-00000,2000,30,,14861.0,6.9,493.0,27.0,,0.07,6,7,7,6,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-RAJ-00000,2003,33,,14861.0,6.9,493.0,27.0,0.28,0.07,6,7,6,6,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-RAJ-00000,2006,36,,14861.0,6.9,,27.0,0.28,0.07,5,6,6,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-RAJ-00000,2009,39,,14861.0,6.9,493.0,27.0,0.28,0.07,6,6,6,6,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-RAJ-00000,2012,42,,14861.0,6.9,493.0,27.0,0.28,0.07,6,6,6,6,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-RAJ-00000,2015,45,,14861.0,,493.0,27.0,0.28,0.07,5,5,6,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-RAJ-00000,2018,48,2.0,14861.0,6.9,493.0,27.0,0.28,0.07,9,5,7,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-RAJ-00000,2021,51,5.0,14861.0,6.9,493.0,27.0,0.28,0.07,8,5,7,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-RAJ-00000,2024,54,8.0,14861.0,6.9,493.0,27.0,,0.07,8,5,7,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_0,25.2909,72.3211,NationalHighway,1970,Masonry,Arch,1,17.8,16.2,5.4,2,14861,6.9,493.0,27.0,0.28,0.07,Mild,2016
BR-PUN-00001,2012,8,,4958.0,3.0,206.0,25.8,0.36,0.13,8,8,7,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Punjab,District_Punjab_1,31.5182,75.1103,StateHighway,2004,PSC,Box,2,29.9,50.8,10.0,3,4958,3.0,206.0,25.8,0.36,0.13,Mild,0
